revenue,prediction_label
34300000,120820736
20603716,98793960
562363456,139138880
36606744,126522512
4505922,125208000
109280264,95582672
274700000,87409984
41900000,114189656
67519192,105219792
6900000,82464056
30002758,126651440
245527152,140603440
111231040,107481544
187000000,97114944
349757,107061200
3900000,97037944
179033792,69229304
9100000,85143176
48021768,92805056
132965488,87690664
245700000,116016584
402352576,87829888
132965488,88340656
309200000,116146280
74189680,79098688
82300000,112375104
127400000,111495192
12100000,111631672
186003584,125507608
22490040,99980944
44000000,92976328
383531456,132447296
132965488,93689096
270000000,127404232
36869416,91875048
199043248,145886592
42930464,102616768
48600000,93008112
2000000,112175920
96500000,122622688
58292296,114733424
152000000,103270504
65800000,101388432
429632128,124388096
15400000,75983320
53431160,146637968
77912248,109840008
7270000,101653192
34017028,113157184
23218000,66469860
125900000,118362304
3153,92079808
326706112,118550136
694700032,129210712
295038496,161828144
5844868,87580104
105000000,129219816
20100000,79433736
51702484,102034056
32589624,109299688
132965488,139094496
25871834,105335688
250300000,129941480
12600000,86413536
38000000,51544864
72000000,108988792
254100000,108156384
85200000,126543616
128905368,98804088
38400000,98418328
2543216,111729256
27909,113421712
215905808,130563272
18377736,98946552
23101,87332488
180613184,123133808
55003888,104864456
6272403,89374968
81967448,118854088
59217788,122956408
31672678,115009912
103100000,120631688
203509376,156068256
47709192,84687080
46201432,76067312
252442976,151756128
20036736,144045200
100853752,96760584
4905000,50711196
932396224,158532192
4633668,113183864
297002528,132724456
23900000,119677704
432800000,108322824
45000000,160381824
938212736,188350592
99870888,86397400
132965488,75729704
15935068,82490512
64200000,79847648
4000000,91745944
7600000,107990424
14717854,49293920
9101546,84190648
33473296,98133728
132965488,86280536
261119296,167110192
78656816,111975472
26000000,109281984
132965488,126727432
121790376,120988960
312897920,116272528
28200000,117184192
52700000,150831824
43625096,91945392
79799880,121340184
107217392,103037696
99400000,99323840
42273608,111361248
80000000,107969688
500200000,165761104
488000,84766144
100000000,101593520
723192704,112557304
43935764,67492352
343397248,176167472
163800000,121397456
52300000,102282640
162000000,105154608
68500000,153932112
282548,95407152
199000000,108937136
587204672,153906688
35492920,105126704
80035400,83702320
78269968,82317120
2671855,85424392
55000,103421464
132965488,103063888
96618696,101120880
11060485,81228976
449762624,162876848
3483000,110092176
16300000,119430344
76700000,111254760
98337296,99277392
857611200,211944832
59400000,114533632
259200000,103995384
1081041280,159478112
94017296,128511480
25003426,78157944
440603552,144476960
48200000,107324352
33500000,120306888
132965488,101872632
202231360,130589744
4025074,103247512
62172048,113427024
138500000,106873968
203388336,91039248
225973344,100267040
117000000,100947768
7797728,69453688
95904088,111219080
300400448,96904368
124600000,112073392
1395610,50096740
49100000,88695752
28780256,102684760
87528176,88116400
99300000,110120624
432274,63886892
8704851,92180440
303000000,140848256
163000000,130955856
73267872,98249816
82499400,131894048
14740889,95895040
72109200,140272992
808114,82228528
65754228,99361568
29116320,88153224
71923560,107370040
451000,76477832
2000000,103978392
714766592,279550976
33697648,74149968
42580320,70671368
25792310,101055352
35500000,115000832
76016168,117879704
92158960,108511200
3868,70021992
228738400,136406720
80205384,113755696
84606032,93741144
255407968,110490616
68500000,87870440
8844595,98685848
14311701,91862536
33856056,103179672
29942746,105815288
39400000,95952960
107139400,141516816
28946128,118375528
22099848,127301344
22168360,87110736
1015760,89359416
1100000,100280800
20560256,71385024
19280932,113987104
288500224,105185216
46122356,112553760
72178896,115057144
34800000,111666112
60000000,84131176
124300000,113860032
449702,108944496
54401584,87461656
5078400,105765288
68766120,97047264
53800000,121450984
70692104,112688008
55000000,118912848
2900000,118902168
521311872,230066640
8342132,102804880
5728953,87660864
132965488,92915760
52400000,91718376
23076712,133290320
21028756,112311808
39673160,116566464
8969065,94124976
2062066,91705960
150166128,121468816
99975680,101269912
180851,104925392
17953778,93450240
98159960,160400864
212874864,135811584
56500000,103214416
112483760,141249312
170800000,130941920
152400000,107530576
104324080,104585424
132965488,73192544
46733236,121059520
10499694,101197616
104400000,127302904
85300000,89116928
218300000,139313120
26514814,91140784
4600000,66628848
2131057,100890080
78100000,116469568
1980338,101745072
172400000,121745184
50401504,82974160
139804352,114070504
92374672,91621888
521170816,194825456
141700000,137869808
176586704,94947024
112462512,133012632
24849028,112769936
609000000,151363232
288885824,156653216
48137664,117706392
152368592,134164216
7820688,106143224
132965488,109778952
9747742,98226968
2082980,104761392
26381220,116281808
135500000,117398072
346100000,160840608
14110013,80704904
132274480,102352888
16057580,91421928
8349430,81461912
24271196,101937472
264218224,150435312
132965488,155414400
22939028,112936104
16554699,75836368
41989392,144069360
11988469,98544016
53689532,111358896
98376288,117055152
161800000,108402480
46800000,81250904
2315683,63442176
315025920,119259384
1034589,105231920
47582564,114030600
459051,87570752
631058944,134846576
146027888,103388368
1250000,52696548
9793496,100480224
34900000,68508448
1600000,141178384
45056772,117718976
5000000,102706176
2000000,66847684
469310848,137949264
10736401,120035960
10000000,82419832
303025472,119194416
151572640,110113128
74700000,111934152
5048693,85987024
6524886,94754304
178143,109475040
151493,119483712
6735922,109402760
26620002,118590888
8613462,86770208
356743072,176754944
7603766,73171152
304320256,133835208
173013504,72376824
102600000,90718712
3600000,121066952
32135312,95914696
35690740,92592912
96188904,104089256
20100000,103073688
18200000,124884192
39200000,85335536
147748512,89206552
149000000,93302952
362113,126151360
160600000,95575632
132965488,130728648
14333790,111020608
145000000,100760912
13167232,82084456
286801376,153318016
61389680,139811056
634151680,142326368
132965488,113883016
368871008,159535520
335062624,107173008
3300000,89154840
95700000,140092624
132965488,114533096
66023328,102920080
351266432,122906088
23400000,115210408
76419752,92748176
654899968,196042352
191000000,129351960
13596911,140988112
87423864,99529128
40263020,79707928
407573632,136981952
236000000,96066000
40000000,100577280
2100000,102848968
53830416,114691208
330444032,161520544
248384624,161035680
858281,74199976
132965488,121104128
72689128,97891536
25000000,99371800
14300000,95159576
61746888,129750328
6632383,104058256
86493048,115274576
4298184,76428592
11715321,107875024
57223888,106213432
46704056,113789240
585333,101561944
373993952,157106304
60800000,80929640
191000000,122373488
33628000,75432760
7237794,93034064
69800000,121075032
3984669,70714280
72400000,103270312
880166912,150968480
792965504,132277048
164000,106550704
22500000,96239664
132965488,130749752
83531960,86696752
30987696,129300144
18637690,106862800
3558669,94629896
1829804,97191528
132965488,78012928
90404800,122044536
10629321,85597360
132965488,97415400
23000000,106725008
137551600,141057440
214891376,111148664
44806784,103876232
3000000,69787624
361366624,121905360
108400000,113868144
105200000,120052304
135039920,69542184
108609312,72340608
131800000,116673448
19844980,75117208
57120320,112391984
132965488,130678320
1921847168,215087568
415686208,134797392
369900000,131327056
50023780,115514104
132965488,62016268
50100000,115031376
42300000,122393680
644783168,240937072
7500000,94274680
39171128,118480808
171539888,102652336
68106248,102034808
59754600,81535072
216614384,118967216
132965488,84003144
12007070,111989256
155760112,86369672
20710512,70752616
278454368,132831144
74000000,105173536
56500000,77606248
109676312,95318832
20146880,112150520
156362,86497488
307077280,141965824
196482880,153528448
132965488,168700080
4700000,83661648
14400000,162145552
48572000,94485240
132965488,145956560
205754448,129042840
16228448,108847720
35600000,103832664
43101592,102249152
34300000,138638064
23000,97643368
698491328,105875680
101200000,121786400
15000000,83614824
90100000,109769280
183000000,85980600
7177143,66581120
190212112,119475888
163700000,157017840
10324441,79356064
132965488,124335248
10100000,88017320
132965488,120890960
117300000,160852176
49800000,115608824
12725395,114178352
21170564,72366144
99423520,109779824
99924,103616768
302500000,140384928
79000000,110235904
101371016,117765088
57500000,83099000
132965488,98376928
1411927,110444944
179213440,97421672
132965488,43511244
45967936,118017192
90383208,100811720
24200000,122754792
58978652,68362720
132965488,113134088
995339136,125705560
288175328,154059472
132965488,129796896
197700000,174029024
177841552,117070416
589400000,143006144
15000000,85317952
118900000,99172040
141591328,118839272
403354464,165696416
356830592,98803344
74208264,101460144
81600000,77491024
192712992,117293104
21037000,73611960
14397593,74150336
75000000,105481424
1023784192,176541152
174000000,100327480
1152028416,110513512
35700000,86978840
87100000,103520880
27635304,117990264
107347360,137855920
67800064,85411080
149270992,116866352
104600000,159122816
132965488,94771576
411348928,108534536
130290888,109715792
