id,budget,genres,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,title
619264,1203235,"['Drama', 'Science Fiction', 'Thriller']",http://www.elhoyolapelicula.com/index.php/en,tt8228288,es,El hoyo,"A mysterious place, an indescribable prison, a deep hole. An unknown number of levels. Two inmates living on each level. A descending platform containing food for all of them. An inhuman fight for survival, but also an opportunity for solidarity.",168.667,/8ZX18L5m6rH5viSYpRnTSbb9eXh.jpg,"['Basque Films', 'Mr. Miyagi', 'EiTB', 'TVE']",['Spain'],2019-11-08,95,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,The Platform
381284,25000000,"['Drama', 'History']",http://www.hiddenfigures.com,tt4846340,en,Hidden Figures,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",128.62,/9lfz2W2uGjyow3am00rsPJ8iOyq.jpg,"['Fox 2000 Pictures', 'Levantine Films', 'Chernin Entertainment']",['United States of America'],2016-12-10,127,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"Meet the women you don't know, behind the mission you do.",Hidden Figures
274870,110000000,"['Drama', 'Romance', 'Science Fiction']",http://www.passengersmovie.com/,tt1355644,en,Passengers,"A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.",188.812,/oZpdONg32luHu0g8HcysuPgSlIK.jpg,"['Wanda Pictures', 'Columbia Pictures', 'Village Roadshow Pictures', 'Original Film', 'Company Films', 'Start Motion Pictures', 'LStar Capital']",['United States of America'],2016-12-21,116,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,There is a reason they woke up.,Passengers
87101,155000000,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",https://www.paramount.com/movies/terminator-genisys,tt1340138,en,Terminator Genisys,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",272.017,/oZRVDpNtmHk8M1VYy1aeOWUXgbC.jpg,"['Paramount', 'Skydance Media', 'Annapurna Pictures']","['Canada', 'United States of America']",2015-06-23,126,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Reset the future,Terminator Genisys
567609,6000000,"['Comedy', 'Horror', 'Thriller']",http://www.foxsearchlight.com/readyornot/,tt7798634,en,Ready or Not,"When a young bride marries into a ridiculously rich and delightfully deranged family, her wedding night becomes her worst nightmare as she's forced to play a lethal game of hide-and-seek and must fight to stay alive.",176.529,/vOl6shtL0wknjaIs6JdKCpcHvg8.jpg,"['Mythology Entertainment', 'Vinson Films', 'Fox Searchlight Pictures', 'Radio Silence']",['United States of America'],2019-08-21,95,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A killer game of hide and seek.,Ready or Not
505600,6000000,['Comedy'],https://annapurna.pictures/film/booksmart/,tt1489887,en,Booksmart,"Two academic teenage superstars realize, on the eve of their high school graduation, that they should have worked less and played more. Determined to never fall short of their peers, the girls set out on a mission to cram four years of fun into one night.",163.946,/micaVOa1UZsdzs4fKGA67ZMGOzc.jpg,"['Annapurna Pictures', 'Gloria Sanchez Productions']",['United States of America'],2019-05-24,102,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,Getting straight A's. Giving zero F's.,Booksmart
424694,52000000,"['Music', 'Drama']",http://bohemianrhapsody.com,tt1727824,en,Bohemian Rhapsody,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",162.133,/lHu1wtNaczFPGFDTrjCSzeLPTKN.jpg,"['20th Century Fox', 'Regency Enterprises', 'GK Films', 'TSG Entertainment']","['United Kingdom', 'United States of America']",2018-10-24,135,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Fearless lives forever,Bohemian Rhapsody
500475,16000000,"['Action', 'Crime']",http://www.superfly.movie,tt7690670,en,SuperFly,"Career criminal Youngblood Priest wants out of the Atlanta drug scene, but as he ramps up sales, one little slip up threatens to bring the whole operation down before he can make his exit.",165.441,/gGk9H5PVpWzbsYkmnBeKevQkwwf.jpg,"['Columbia Pictures', 'Silver Pictures', 'Sony Pictures']",['United States of America'],2018-06-13,107,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,Redefine the hussle,SuperFly
420817,183000000,"['Adventure', 'Fantasy', 'Romance', 'Family']",https://movies.disney.com/aladdin-2019,tt6139732,en,Aladdin,A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make their deepest wishes come true.,160.691,/ykUEbfpkf8d0w49pHh0AD2KrT52.jpg,"['Walt Disney Pictures', 'Rideback']",['United States of America'],2019-05-22,127,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Choose Wisely.,Aladdin
437557,21000000,['Comedy'],https://www.uphe.com/movies/blockers,tt2531344,en,Blockers,"When three parents discover that each of their daughters have a pact to lose their virginity at prom, they launch a covert one-night operation to stop the teens from sealing the deal.",190.562,/uvlUQXg0AlpGzKukO11K7QtW3Yu.jpg,"['Hurwitz & Schlossberg Productions', 'Good Universe', 'DMG Entertainment', 'Point Grey Pictures', 'Universal Pictures', 'dentsu']","['China', 'Japan', 'United States of America']",2018-03-14,102,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Teens out to have fun. Parents out to stop it.,Blockers
